Date,Close/Last,Volume,Open,High,Low
07/11/2025,$146.42,50049180,$142.60,$147.40,$141.60
07/10/2025,$144.16,61101470,$143.00,$145.82,$141.85
07/09/2025,$138.41,37013130,$138.69,$140.65,$137.59
07/08/2025,$137.82,36124610,$137.32,$139.15,$135.91
07/07/2025,$134.80,37395010,$136.56,$137.44,$133.50
07/03/2025,$137.91,28645990,$139.11,$139.50,$137.32
07/02/2025,$138.52,39227990,$135.53,$139.78,$135.22
07/01/2025,$136.11,55257240,$138.77,$140.23,$135.1202
06/30/2025,$141.90,42972470,$144.00,$146.00,$141.01
06/27/2025,$143.81,61937850,$144.18,$147.7504,$141.63
06/26/2025,$143.68,58180080,$145.97,$146.00,$141.91
06/25/2025,$143.40,74607220,$140.94,$144.18,$139.46
06/24/2025,$138.43,78572000,$133.43,$138.79,$132.93
06/23/2025,$129.58,65152870,$130.47,$133.25,$126.82
06/20/2025,$128.24,79930980,$129.00,$132.805,$127.55
06/18/2025,$126.79,49627110,$128.01,$129.21,$125.77
06/17/2025,$127.10,86623910,$127.93,$130.70,$126.58
06/16/2025,$126.39,100968500,$118.635,$128.1393,$117.78
06/13/2025,$116.16,39702740,$116.045,$117.883,$115.06
06/12/2025,$118.50,44718370,$120.615,$122.25,$118.03
06/11/2025,$121.14,32261860,$124.44,$124.47,$119.88
06/10/2025,$123.24,41691910,$121.105,$124.09,$120.80
06/09/2025,$121.73,55437650,$119.18,$122.3699,$119.04
06/06/2025,$116.19,27042080,$117.685,$118.38,$115.88
06/05/2025,$115.69,34182900,$118.95,$119.2448,$114.71
06/04/2025,$118.58,31024990,$117.41,$119.295,$115.73
06/03/2025,$117.31,37161480,$114.50,$117.68,$113.28
06/02/2025,$114.63,34078360,$111.06,$114.86,$111.01
05/30/2025,$110.73,36088470,$111.584,$112.11,$108.6154
05/29/2025,$113.03,30572130,$115.485,$115.54,$112.13
05/28/2025,$112.86,27483740,$114.915,$114.948,$112.66
05/27/2025,$114.56,37885020,$113.175,$115.395,$112.27
05/23/2025,$110.31,30867270,$108.085,$111.015,$107.6671
05/22/2025,$110.71,29251960,$111.90,$112.64,$110.61
05/21/2025,$112.06,43594610,$113.85,$116.10,$111.09
05/20/2025,$113.51,29030820,$114.35,$114.51,$112.08
05/19/2025,$114.74,37737370,$115.015,$115.53,$114.06
05/16/2025,$117.17,43419700,$118.07,$118.24,$116.01
05/15/2025,$114.99,43843240,$117.02,$117.50,$114.01
05/14/2025,$117.72,86743700,$119.83,$122.52,$116.59
05/13/2025,$112.46,55659510,$109.60,$113.1277,$109.00
05/12/2025,$108.12,50543400,$110.415,$110.667,$106.98
05/09/2025,$102.84,31704260,$102.585,$103.54,$101.60
05/08/2025,$101.70,54231360,$101.92,$105.44,$101.56
05/07/2025,$100.36,86648750,$100.75,$103.42,$96.88
05/06/2025,$98.62,54264250,$98.41,$100.07,$97.44
05/05/2025,$100.59,41268890,$99.00,$102.05,$98.76
05/02/2025,$98.80,29957890,$98.40,$99.88,$98.30
05/01/2025,$96.65,29591510,$99.265,$100.10,$96.45
04/30/2025,$97.35,29730730,$92.81,$97.55,$91.87
04/29/2025,$96.06,20700640,$95.755,$97.1767,$95.33
04/28/2025,$96.39,30456680,$95.575,$97.4865,$94.27
04/25/2025,$96.645,28575340,$93.275,$97.10,$92.85
04/24/2025,$94.47,33681920,$91.59,$94.75,$90.37
04/23/2025,$90.39,41102590,$91.875,$93.74,$90.12
04/22/2025,$86.26,35236740,$86.12,$87.17,$85.17
04/21/2025,$85.56,33855390,$86.015,$86.14,$83.75
04/17/2025,$87.50,34801440,$88.84,$89.03,$86.515
04/16/2025,$88.29,62109020,$87.61,$90.47,$85.295
04/15/2025,$95.29,28116540,$94.66,$96.85,$94.62
04/14/2025,$94.50,36002970,$97.11,$97.3699,$93.45
04/11/2025,$93.40,57892600,$90.51,$94.76,$90.50
04/10/2025,$88.70,65210570,$91.00,$92.95,$85.06
04/09/2025,$96.84,97827350,$79.22,$97.91,$78.87
