Date,Close/Last,Volume,Open,High,Low
06/04/2025,$64.39,14770950,$64.66,$64.89,$64.345
06/03/2025,$64.36,15156860,$63.795,$64.4564,$63.72
06/02/2025,$63.85,15815990,$62.725,$63.88,$62.71
05/30/2025,$63.04,25829060,$62.92,$63.175,$62.30
05/29/2025,$63.05,13984560,$63.73,$63.74,$62.485
05/28/2025,$63.34,13814470,$63.89,$63.985,$63.25
05/27/2025,$63.75,17429410,$63.76,$63.99,$63.335
05/23/2025,$63.11,15645590,$62.705,$63.22,$62.53
05/22/2025,$63.36,15641090,$63.405,$63.72,$62.95
05/21/2025,$63.20,15595940,$62.99,$63.905,$62.9714
05/20/2025,$63.42,14995180,$63.735,$63.85,$63.065
05/19/2025,$63.92,16249010,$63.43,$64.13,$63.18
05/16/2025,$63.62,30289900,$63.91,$64.03,$62.975
05/15/2025,$64.26,60718030,$63.07,$65.745,$62.92
05/14/2025,$61.29,34509180,$61.63,$61.87,$60.845
05/13/2025,$61.78,18591170,$61.675,$62.24,$61.605
05/12/2025,$61.67,23699990,$61.61,$61.85,$61.12
05/09/2025,$59.77,17480670,$60.655,$60.83,$59.44
05/08/2025,$59.71,16196660,$59.955,$60.28,$59.425
05/07/2025,$59.57,14081020,$59.20,$59.895,$59.07
05/06/2025,$59.22,13766480,$58.625,$59.51,$58.58
05/05/2025,$59.32,14758500,$59.00,$59.65,$58.88
05/02/2025,$59.33,18753540,$59.06,$59.415,$58.735
05/01/2025,$58.12,16420750,$57.78,$58.4674,$57.68
04/30/2025,$57.73,19921240,$57.10,$57.905,$56.46
04/29/2025,$57.34,13466090,$56.69,$57.49,$56.63
04/28/2025,$56.84,23140580,$56.525,$57.33,$56.415
04/25/2025,$56.71,16493790,$56.21,$56.78,$56.07
04/24/2025,$56.29,22782320,$55.30,$56.565,$55.16
04/23/2025,$55.63,30231460,$56.15,$56.98,$55.495
04/22/2025,$55.04,19961800,$55.22,$55.275,$54.585
04/21/2025,$54.37,15578780,$55.16,$55.33,$53.83
04/17/2025,$55.76,15910360,$56.20,$56.405,$55.685
04/16/2025,$55.76,20551320,$56.57,$57.08,$55.42
04/15/2025,$57.20,18543580,$57.87,$57.91,$57.06
04/14/2025,$57.41,15657740,$57.89,$58.21,$57.095
04/11/2025,$57.33,23036940,$56.67,$57.80,$56.28
04/10/2025,$56.59,31964570,$57.82,$57.94,$55.00
04/09/2025,$58.13,53380790,$53.08,$58.43,$52.67
04/08/2025,$53.19,37376990,$54.735,$55.865,$52.715
04/07/2025,$54.41,46816200,$53.38,$56.12,$52.11
04/04/2025,$54.54,42924450,$56.656,$57.47,$54.44
04/03/2025,$57.31,40006320,$59.38,$59.92,$57.255
04/02/2025,$61.82,18610690,$61.195,$61.87,$61.10
04/01/2025,$61.80,17381450,$61.38,$62.04,$61.06
03/31/2025,$61.71,29335720,$60.63,$61.895,$60.24
03/28/2025,$60.86,24931720,$61.66,$61.7754,$60.51
03/27/2025,$61.40,25720160,$61.89,$61.98,$61.33
03/26/2025,$61.80,30628530,$61.03,$61.84,$61.005
03/25/2025,$60.99,20877640,$60.84,$61.21,$60.70
03/24/2025,$60.97,28335640,$61.035,$61.38,$60.88
